,TRIAL,STx,Nrate,GY
305,1093,loam,0.0,8.57
306,1093,loam,34.0,10.88
307,1093,loam,67.0,12.2
308,1093,loam,134.0,12.42
309,1095,loam,0.0,11.93
310,1095,loam,34.0,12.23
311,1095,loam,67.0,13.0
312,1095,loam,134.0,13.58
313,1097,loam,0.0,4.35
314,1097,loam,34.0,5.44
315,1097,loam,67.0,6.67
316,1097,loam,134.0,6.54
317,1102,silt loam,0.0,2.134
318,1102,silt loam,50.0,4.0169999999999995
319,1102,silt loam,100.0,4.143
320,1102,silt loam,150.0,5.084
321,1104,loam,0.0,9.934
322,1104,loam,50.0,12.467
323,1104,loam,100.0,13.638
324,1104,loam,150.0,14.265999999999998
325,1104,loam,200.0,13.724
326,1104,loam,250.0,14.562999999999999
327,1107,clay loam,0.0,5.11
328,1107,clay loam,50.0,6.647
329,1107,clay loam,100.0,11.274000000000001
330,1107,clay loam,150.0,12.113
331,1107,clay loam,200.0,13.093
332,1107,clay loam,250.0,13.706
333,1110,clay,0.0,5.955
334,1110,clay,50.0,6.3260000000000005
335,1110,clay,100.0,9.061
336,1110,clay,150.0,9.725
337,1110,clay,200.0,9.996
338,1110,clay,250.0,9.933
339,1112,clay loam,0.0,5.757000000000001
340,1112,clay loam,50.0,9.919
341,1112,clay loam,100.0,10.193999999999999
342,1112,clay loam,150.0,10.767999999999999
343,1112,clay loam,200.0,10.607000000000001
344,1114,loam,0.0,1.037
345,1114,loam,50.0,2.4459999999999997
346,1114,loam,100.0,5.666
347,1114,loam,150.0,8.342
348,1114,loam,200.0,8.129
349,1115,clay loam,0.0,2.033
350,1115,clay loam,50.0,3.798
351,1115,clay loam,100.0,6.0120000000000005
352,1115,clay loam,150.0,7.1370000000000005
353,1115,clay loam,200.0,8.187999999999999
354,1154,clay,0.0,10.728
355,1154,clay,80.0,10.642999999999999
356,1154,clay,120.0,11.05
357,1154,clay,160.0,5.1610000000000005
358,1154,clay,200.0,9.25
359,1154,clay,240.0,11.792
360,1158,clay loam,0.0,3.0010000000000003
361,1158,clay loam,50.0,5.818
362,1158,clay loam,100.0,5.931
363,1158,clay loam,150.0,6.261
364,1158,clay loam,200.0,0.31
365,1160,clay loam,0.0,2.458
366,1160,clay loam,50.0,4.184
367,1160,clay loam,100.0,5.737
368,1160,clay loam,150.0,6.318
369,1160,clay loam,200.0,0.48100000000000004
370,1164,sandy loam,0.0,1.784
371,1164,sandy loam,50.0,2.265
372,1164,sandy loam,100.0,3.562
373,1164,sandy loam,150.0,4.687
374,1164,sandy loam,200.0,6.83
375,1164,sandy loam,250.0,8.527000000000001
376,1167,silty clay loam,0.0,12.049000000000001
377,1167,silty clay loam,50.0,11.761
378,1167,silty clay loam,100.0,12.624
379,1167,silty clay loam,150.0,4.4
380,1167,silty clay loam,200.0,7.716
381,1167,silty clay loam,250.0,8.119
382,1168,silty clay,0.0,10.404000000000002
383,1168,silty clay,50.0,10.738
384,1168,silty clay,100.0,11.372
385,1168,silty clay,150.0,11.737
386,1168,silty clay,200.0,11.743
387,1168,silty clay,250.0,12.567
388,1170,sandy loam,0.0,9.453
389,1170,sandy loam,50.0,9.318
390,1170,sandy loam,100.0,9.586
391,1170,sandy loam,150.0,7.035
392,1170,sandy loam,200.0,6.045
393,1170,sandy loam,250.0,11.655
394,1181,loamy sand,0.0,3.014
395,1181,loamy sand,45.0,3.0989999999999998
396,1181,loamy sand,90.0,2.608
397,1181,loamy sand,135.0,3.1639999999999997
398,1181,loamy sand,200.0,2.8480000000000003
399,1184,clay loam,0.0,8.176
400,1184,clay loam,45.0,9.918
401,1184,clay loam,90.0,9.869
402,1184,clay loam,135.0,8.776
403,1184,clay loam,200.0,8.965
404,1185,sandy loam,0.0,9.629
405,1185,sandy loam,45.0,10.511
406,1185,sandy loam,90.0,11.394
407,1185,sandy loam,135.0,11.149000000000001
408,1185,sandy loam,200.0,11.42
409,1188,silt loam,0.0,8.258
410,1188,silt loam,45.0,9.224
411,1188,silt loam,90.0,10.334000000000001
412,1188,silt loam,135.0,10.498
413,1188,silt loam,200.0,9.894
