,TRIAL,STx,Nrate,GY,Y0,Ymax,NR,NRr,NAE
241,831,loamy sand,250,12.0,3.5,12.7,8.5,242.85714285714283,34.0
242,831,loamy sand,250,12.7,3.5,12.7,9.2,262.85714285714283,36.8
243,831,loamy sand,300,11.9,3.5,12.7,8.4,240.0,28.0
245,836,sandy loam,125,3.6,2.7,4.1,0.8999999999999999,33.33333333333333,7.2
246,836,sandy loam,185,3.5,2.7,4.1,0.7999999999999998,29.629629629629623,4.324
247,836,sandy loam,250,4.1,2.7,4.1,1.3999999999999995,51.851851851851826,5.6
248,836,sandy loam,250,4.0,2.7,4.1,1.2999999999999998,48.14814814814814,5.2
249,836,sandy loam,300,3.8,2.7,4.1,1.0999999999999996,40.740740740740726,3.667
251,901,silt loam,60,8.756,4.197,12.436,4.559,108.62520848224923,75.983
252,901,silt loam,120,9.62,4.197,12.436,5.422999999999999,129.21134143435785,45.192
253,901,silt loam,180,12.265,4.197,12.436,8.068000000000001,192.23254705742198,44.822
254,901,silt loam,260,12.436,4.197,12.436,8.239,196.30688587086016,31.688
256,902,silt loam,70,12.692,8.744,14.405999999999999,3.9480000000000004,45.150960658737425,56.4
257,902,silt loam,140,14.405999999999999,8.744,14.405999999999999,5.661999999999999,64.75297346752058,40.443
258,902,silt loam,210,11.982999999999999,8.744,14.405999999999999,3.238999999999999,37.04254345837145,15.424
260,904,loam,70,15.728,14.914000000000001,16.980999999999998,0.8139999999999983,5.457958964731113,11.629
261,904,loam,140,15.843,14.914000000000001,16.980999999999998,0.9289999999999985,6.229046533458485,6.636
262,904,loam,210,16.980999999999998,14.914000000000001,16.980999999999998,2.0669999999999966,13.859460909212796,9.843
264,906,loam,70,15.957,13.704,18.557000000000002,2.253,16.44045534150613,32.186
265,906,loam,140,16.652,13.704,18.557000000000002,2.9480000000000004,21.511967308814945,21.057
266,906,loam,210,18.557000000000002,13.704,18.557000000000002,4.8530000000000015,35.41301809690602,23.11
268,946,silt loam,60,7.553999999999999,4.343999999999999,14.501,3.21,73.8950276243094,53.5
269,946,silt loam,120,10.128,4.343999999999999,14.501,5.784000000000001,133.14917127071826,48.2
270,946,silt loam,180,13.175,4.343999999999999,14.501,8.831000000000001,203.291896869245,49.061
271,946,silt loam,240,14.501,4.343999999999999,14.501,10.157,233.81675874769803,42.321
273,949,silt loam,60,13.026,10.508,13.630999999999998,2.5180000000000007,23.96269508945566,41.967
274,949,silt loam,120,13.549000000000001,10.508,13.630999999999998,3.041000000000002,28.939855348306075,25.342
275,949,silt loam,180,13.205,10.508,13.630999999999998,2.697000000000001,25.66615911686335,14.983
276,949,silt loam,240,13.630999999999998,10.508,13.630999999999998,3.1229999999999993,29.720213170917393,13.012
278,953,silt loam,60,10.862,11.049000000000001,11.565,-0.18700000000000117,-1.6924608561860905,-3.117
279,953,silt loam,120,10.787,11.049000000000001,11.565,-0.26200000000000045,-2.371255317223282,-2.183
280,953,silt loam,180,10.569,11.049000000000001,11.565,-0.4800000000000004,-4.34428455063807,-2.667
281,953,silt loam,240,11.565,11.049000000000001,11.565,0.5159999999999982,4.670105891935905,2.15
283,957,silt loam,60,15.38,13.86,16.884,1.5200000000000014,10.966810966810977,25.333
284,957,silt loam,120,16.884,13.86,16.884,3.024000000000001,21.818181818181827,25.2
285,957,silt loam,180,16.281,13.86,16.884,2.4209999999999994,17.467532467532465,13.45
286,957,silt loam,240,16.163,13.86,16.884,2.303000000000001,16.616161616161623,9.596
288,959,silt loam,60,15.038,12.890999999999998,17.208,2.147000000000002,16.65503064153287,35.783
289,959,silt loam,120,16.308,12.890999999999998,17.208,3.4170000000000016,26.506865254828966,28.475
290,959,silt loam,180,17.208,12.890999999999998,17.208,4.317,33.48848033511753,23.983
291,959,silt loam,240,16.634,12.890999999999998,17.208,3.743000000000002,29.035761383911275,15.596
293,961,sandy loam,60,15.703,11.834000000000001,17.99,3.868999999999998,32.693932736183854,64.483
294,961,sandy loam,120,16.249000000000002,11.834000000000001,17.99,4.415000000000001,37.30775730944736,36.792
295,961,sandy loam,180,16.471,11.834000000000001,17.99,4.636999999999999,39.18370796011491,25.761
296,961,sandy loam,240,17.99,11.834000000000001,17.99,6.155999999999997,52.01960452932226,25.65
298,965,silt loam,60,12.612,10.296,14.949000000000002,2.3160000000000007,22.494172494172503,38.6
299,965,silt loam,120,14.302,10.296,14.949000000000002,4.006,38.908313908313914,33.383
300,965,silt loam,180,14.347999999999999,10.296,14.949000000000002,4.052,39.35508935508935,22.511
301,965,silt loam,240,14.949000000000002,10.296,14.949000000000002,4.653000000000002,45.192307692307715,19.388
303,1033,loam,101,8.1,4.3,8.9,3.8,88.37209302325581,37.624
304,1033,loam,202,8.9,4.3,8.9,4.6000000000000005,106.97674418604652,22.772
